,topic_id,topic_description,doc_url,human_judgement
0,13,"Find a printable worksheet or activity sheet that helps students practice drawing basic Lewis dot diagrams for simple molecules like H2O, O2, and H2. The worksheet should be suitable for 7th/8th grade students and include clear instructions.",https://simpleclub.com/lessons/chemie-lewis-formel-elektronenformel,1.0
1,13,"Find a printable worksheet or activity sheet that helps students practice drawing basic Lewis dot diagrams for simple molecules like H2O, O2, and H2. The worksheet should be suitable for 7th/8th grade students and include clear instructions.",https://www.youtube.com/watch?v=ZpPSjH2qomw,0.0
2,13,"Find a printable worksheet or activity sheet that helps students practice drawing basic Lewis dot diagrams for simple molecules like H2O, O2, and H2. The worksheet should be suitable for 7th/8th grade students and include clear instructions.",https://www.brainscape.com/flashcards/ac-2-ubung-lewis-formel-9222331/packs/16196252,0.0
3,13,"Find a printable worksheet or activity sheet that helps students practice drawing basic Lewis dot diagrams for simple molecules like H2O, O2, and H2. The worksheet should be suitable for 7th/8th grade students and include clear instructions.",https://lehrerfortbildung-bw.de/u_matnatech/chemie/bs/6bg/6bg2/1_lpe8/4lewis_schreibweise/,1.0
4,13,"Find a printable worksheet or activity sheet that helps students practice drawing basic Lewis dot diagrams for simple molecules like H2O, O2, and H2. The worksheet should be suitable for 7th/8th grade students and include clear instructions.",https://www.sofatutor.com/chemie/videos/unpolare-atombindung-1,0.0
5,13,"Find a printable worksheet or activity sheet that helps students practice drawing basic Lewis dot diagrams for simple molecules like H2O, O2, and H2. The worksheet should be suitable for 7th/8th grade students and include clear instructions.",https://www.sofatutor.com/chemie/videos/lewis-formeln-darstellung-chemischer-verbindungen-2,0.0
6,13,"Find a printable worksheet or activity sheet that helps students practice drawing basic Lewis dot diagrams for simple molecules like H2O, O2, and H2. The worksheet should be suitable for 7th/8th grade students and include clear instructions.",http://www.c3d.ch/downloads/,0.0
7,13,"Find a printable worksheet or activity sheet that helps students practice drawing basic Lewis dot diagrams for simple molecules like H2O, O2, and H2. The worksheet should be suitable for 7th/8th grade students and include clear instructions.",https://schulportal.de/226797-189942/Hamburg/Gymnasium_FOS/Chemie-Klasse_9-Arbeitsblatt.html,0.0
8,13,"Find a printable worksheet or activity sheet that helps students practice drawing basic Lewis dot diagrams for simple molecules like H2O, O2, and H2. The worksheet should be suitable for 7th/8th grade students and include clear instructions.",https://www.sofatutor.com/chemie/videos/polare-atombindung-2,0.0
9,13,"Find a printable worksheet or activity sheet that helps students practice drawing basic Lewis dot diagrams for simple molecules like H2O, O2, and H2. The worksheet should be suitable for 7th/8th grade students and include clear instructions.",https://www2.chemie.uni-erlangen.de/projects/vsc/chemie-mediziner-neu/bindung/aufgaben/bindung00.html,0.0
